
UART_OK
[TB] v2b_arm_fashion14_trace start - 10 Fashion 14x14 samples via AXI-Lite
[TB] V2B_SOC_BASE=0xa0000000
[OK] MMIO round-trip CFG1
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=0
HASH layer=0 t=54 buf=A 0xA5EE387C
HASH layer=0 t=55 buf=A 0xB4300CD4
HASH layer=0 t=56 buf=A 0x73E2C70B
HASH layer=0 t=57 buf=A 0x2AF795AE
HASH layer=0 t=58 buf=A 0xB1D33C12
HASH layer=0 t=59 buf=A 0x24D6FD63
HASH layer=0 t=60 buf=A 0x50F5A26C
HASH layer=0 t=61 buf=A 0x09E0F0C9
HASH layer=0 t=62 buf=A 0x9E6DA037
HASH layer=0 t=63 buf=A 0x9C64D46B
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x710B8E5D
HASH layer=1 t=2 buf=B 0x29EB73ED
HASH layer=1 t=3 buf=B 0x632961BC
HASH layer=1 t=4 buf=B 0x4C16184A
HASH layer=1 t=5 buf=B 0x06D40A1B
HASH layer=1 t=6 buf=B 0xD9923CE8
HASH layer=1 t=7 buf=B 0x93502EB9
HASH layer=1 t=8 buf=B 0x87ECCF04
HASH layer=1 t=9 buf=B 0xCD2EDD55
HASH layer=1 t=10 buf=B 0x1268EBA6
HASH layer=1 t=11 buf=B 0x58AAF9F7
HASH layer=1 t=12 buf=B 0x77958001
HASH layer=1 t=13 buf=B 0x3D579250
HASH layer=1 t=14 buf=B 0xE211A4A3
HASH layer=1 t=15 buf=B 0xA8D3B6F2
HASH layer=1 t=16 buf=B 0xCB6867D9
HASH layer=1 t=17 buf=B 0x81AA7588
HASH layer=1 t=18 buf=B 0x5EEC437B
HASH layer=1 t=19 buf=B 0x142E512A
HASH layer=1 t=20 buf=B 0x3B1128DC
HASH layer=1 t=21 buf=B 0x71D33A8D
HASH layer=1 t=22 buf=B 0xAE950C7E
HASH layer=1 t=23 buf=B 0xE4571E2F
HASH layer=1 t=24 buf=B 0xF0EBFF92
HASH layer=1 t=25 buf=B 0xBA29EDC3
HASH layer=1 t=26 buf=B 0x656FDB30
HASH layer=1 t=27 buf=B 0x2FADC961
HASH layer=1 t=28 buf=B 0x0092B097
HASH layer=1 t=29 buf=B 0x4A50A2C6
HASH layer=1 t=30 buf=B 0x95169435
HASH layer=1 t=31 buf=B 0xDFD48664
HASH layer=1 t=32 buf=B 0x52613663
HASH layer=1 t=33 buf=B 0x18A32432
HASH layer=1 t=34 buf=B 0xC7E512C1
HASH layer=1 t=35 buf=B 0x8D270090
HASH layer=1 t=36 buf=B 0xA2187966
HASH layer=1 t=37 buf=B 0xE8DA6B37
HASH layer=1 t=38 buf=B 0x379C5DC4
HASH layer=1 t=39 buf=B 0x7D5E4F95
HASH layer=1 t=40 buf=B 0x69E2AE28
HASH layer=1 t=41 buf=B 0x2320BC79
HASH layer=1 t=42 buf=B 0xFC668A8A
HASH layer=1 t=43 buf=B 0xB6A498DB
HASH layer=1 t=44 buf=B 0x999BE12D
HASH layer=1 t=45 buf=B 0xD359F37C
HASH layer=1 t=46 buf=B 0x0C1FC58F
HASH layer=1 t=47 buf=B 0x46DDD7DE
HASH layer=1 t=48 buf=B 0x256606F5
HASH layer=1 t=49 buf=B 0x6FA414A4
HASH layer=1 t=50 buf=B 0xB0E22257
HASH layer=1 t=51 buf=B 0xFA203006
HASH layer=1 t=52 buf=B 0xD51F49F0
HASH layer=1 t=53 buf=B 0x9FDD5BA1
HASH layer=1 t=54 buf=B 0x409B6D52
HASH layer=1 t=55 buf=B 0x0A597F03
HASH layer=1 t=56 buf=B 0x1EE59EBE
HASH layer=1 t=57 buf=B 0x54278CEF
HASH layer=1 t=58 buf=B 0x8B61BA1C
HASH layer=1 t=59 buf=B 0xC1A3A84D
HASH layer=1 t=60 buf=B 0xEE9CD1BB
HASH layer=1 t=61 buf=B 0xA45EC3EA
HASH layer=1 t=62 buf=B 0x7B18F519
HASH layer=1 t=63 buf=B 0x31DAE748
TRACE_HASH_END count=128
[PASS] sample 1 label=1 pred=1 counts=[0 63 0 0 1 0 0 0 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=2
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x5B1BC4BE
HASH layer=0 t=2 buf=A 0x449F4105
HASH layer=0 t=3 buf=A 0xCF185598
HASH layer=0 t=4 buf=A 0x7B61F9CF
HASH layer=0 t=5 buf=A 0x31A3EB9E
HASH layer=0 t=6 buf=A 0x6A99C7C9
HASH layer=0 t=7 buf=A 0x0AD10BF7
HASH layer=0 t=8 buf=A 0xF0D1AFF8
HASH layer=0 t=9 buf=A 0xF9C3AE9D
HASH layer=0 t=10 buf=A 0x65558B5A
HASH layer=0 t=11 buf=A 0xF2D2F904
HASH layer=0 t=12 buf=A 0xF9B981E7
HASH layer=0 t=13 buf=A 0xE43C0DEC
HASH layer=0 t=14 buf=A 0xE63F5B10
HASH layer=0 t=15 buf=A 0x1481272D
HASH layer=0 t=16 buf=A 0xA61C5531
HASH layer=0 t=17 buf=A 0x182B50C6
HASH layer=0 t=18 buf=A 0x3002E3DE
HASH layer=0 t=19 buf=A 0x049723F7
HASH layer=0 t=20 buf=A 0x56651A34
HASH layer=0 t=21 buf=A 0x35B74447
HASH layer=0 t=22 buf=A 0x77FE93C2
HASH layer=0 t=23 buf=A 0xD320FFAA
HASH layer=0 t=24 buf=A 0x696ADADC
HASH layer=0 t=25 buf=A 0x6E063F48
HASH layer=0 t=26 buf=A 0x61412483
HASH layer=0 t=27 buf=A 0xB5B67E62
HASH layer=0 t=28 buf=A 0x991395D9
HASH layer=0 t=29 buf=A 0xD0EB2E4E
HASH layer=0 t=30 buf=A 0xE22BF4C9
HASH layer=0 t=31 buf=A 0xE8A367E1
HASH layer=0 t=32 buf=A 0x3F15048B
HASH layer=0 t=33 buf=A 0x28BA7F6F
HASH layer=0 t=34 buf=A 0x6D9D1232
HASH layer=0 t=35 buf=A 0x942E17EF
HASH layer=0 t=36 buf=A 0x3B995C28
HASH layer=0 t=37 buf=A 0xF52754DD
HASH layer=0 t=38 buf=A 0xAD27D14C
HASH layer=0 t=39 buf=A 0x34DE47E3
HASH layer=0 t=40 buf=A 0x6DCC519B
HASH layer=0 t=41 buf=A 0x4E548E91
HASH layer=0 t=42 buf=A 0xF8E84EB2
HASH layer=0 t=43 buf=A 0xF2C0E611
HASH layer=0 t=44 buf=A 0xC48C6435
HASH layer=0 t=45 buf=A 0x973D8DB6
HASH layer=0 t=46 buf=A 0x089101B7
HASH layer=0 t=47 buf=A 0x02B9A914
HASH layer=0 t=48 buf=A 0x2148F946
HASH layer=0 t=49 buf=A 0xD2D10B74
HASH layer=0 t=50 buf=A 0xC7DF42AB
HASH layer=0 t=51 buf=A 0xB09A91B6
HASH layer=0 t=52 buf=A 0xFF4F40B9
HASH layer=0 t=53 buf=A 0x860988DE
HASH layer=0 t=54 buf=A 0x076581D5
HASH layer=0 t=55 buf=A 0x93D85A4D
HASH layer=0 t=56 buf=A 0x8764BBF0
HASH layer=0 t=57 buf=A 0x5333DA9A
HASH layer=0 t=58 buf=A 0xFC5CDAE0
HASH layer=0 t=59 buf=A 0x6BDBA8BE
HASH layer=0 t=60 buf=A 0x8348D8D8
HASH layer=0 t=61 buf=A 0x9329226F
HASH layer=0 t=62 buf=A 0xB89A033A
HASH layer=0 t=63 buf=A 0x9BA2E7BB
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x2C4D366D
HASH layer=1 t=2 buf=B 0x74ADCBDD
HASH layer=1 t=3 buf=B 0x84E2A9EC
HASH layer=1 t=4 buf=B 0xABDDD01A
HASH layer=1 t=5 buf=B 0xE11FC24B
HASH layer=1 t=6 buf=B 0x3E59F4B8
HASH layer=1 t=7 buf=B 0x749BE6E9
HASH layer=1 t=8 buf=B 0x60270754
HASH layer=1 t=9 buf=B 0x2AE51505
HASH layer=1 t=10 buf=B 0xF5A323F6
HASH layer=1 t=11 buf=B 0xBF6131A7
HASH layer=1 t=12 buf=B 0x905E4851
HASH layer=1 t=13 buf=B 0xDA9C5A00
HASH layer=1 t=14 buf=B 0x05DA6CF3
HASH layer=1 t=15 buf=B 0x4F187EA2
HASH layer=1 t=16 buf=B 0x2CA3AF89
HASH layer=1 t=17 buf=B 0x6661BDD8
HASH layer=1 t=18 buf=B 0xB9278B2B
HASH layer=1 t=19 buf=B 0xF3E5997A
HASH layer=1 t=20 buf=B 0xDCDAE08C
HASH layer=1 t=21 buf=B 0x9618F2DD
HASH layer=1 t=22 buf=B 0x495EC42E
HASH layer=1 t=23 buf=B 0x039CD67F
HASH layer=1 t=24 buf=B 0x172037C2
HASH layer=1 t=25 buf=B 0x5DE22593
HASH layer=1 t=26 buf=B 0x82A41360
HASH layer=1 t=27 buf=B 0xC8660131
HASH layer=1 t=28 buf=B 0xE75978C7
HASH layer=1 t=29 buf=B 0xAD9B6A96
HASH layer=1 t=30 buf=B 0x72DD5C65
HASH layer=1 t=31 buf=B 0x381F4E34
HASH layer=1 t=32 buf=B 0xB5AAFE33
HASH layer=1 t=33 buf=B 0xFF68EC62
HASH layer=1 t=34 buf=B 0x202EDA91
HASH layer=1 t=35 buf=B 0x6AECC8C0
HASH layer=1 t=36 buf=B 0x45D3B136
HASH layer=1 t=37 buf=B 0x0F11A367
HASH layer=1 t=38 buf=B 0xD0579594
HASH layer=1 t=39 buf=B 0x9A9587C5
HASH layer=1 t=40 buf=B 0x8E296678
HASH layer=1 t=41 buf=B 0xC4EB7429
HASH layer=1 t=42 buf=B 0x1BAD42DA
HASH layer=1 t=43 buf=B 0x516F508B
HASH layer=1 t=44 buf=B 0x7E50297D
HASH layer=1 t=45 buf=B 0x34923B2C
HASH layer=1 t=46 buf=B 0xEBD40DDF
HASH layer=1 t=47 buf=B 0xA1161F8E
HASH layer=1 t=48 buf=B 0xC2ADCEA5
HASH layer=1 t=49 buf=B 0x886FDCF4
HASH layer=1 t=50 buf=B 0x5729EA07
HASH layer=1 t=51 buf=B 0x1DEBF856
HASH layer=1 t=52 buf=B 0x32D481A0
HASH layer=1 t=53 buf=B 0x781693F1
HASH layer=1 t=54 buf=B 0xA750A502
HASH layer=1 t=55 buf=B 0xED92B753
HASH layer=1 t=56 buf=B 0xF92E56EE
HASH layer=1 t=57 buf=B 0xB3EC44BF
HASH layer=1 t=58 buf=B 0x6CAA724C
HASH layer=1 t=59 buf=B 0x2668601D
HASH layer=1 t=60 buf=B 0x095719EB
HASH layer=1 t=61 buf=B 0x43950BBA
HASH layer=1 t=62 buf=B 0x9CD33D49
HASH layer=1 t=63 buf=B 0xD6112F18
TRACE_HASH_END count=128
[PASS] sample 2 label=2 pred=2 counts=[0 0 61 0 1 0 0 0 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=3
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x71900828
HASH layer=0 t=2 buf=A 0xCF6D42FE
HASH layer=0 t=3 buf=A 0x07482176
HASH layer=0 t=4 buf=A 0x0DAB1959
HASH layer=0 t=5 buf=A 0xA3C6DA50
HASH layer=0 t=6 buf=A 0x1C4886E6
HASH layer=0 t=7 buf=A 0xD4BF13F5
HASH layer=0 t=8 buf=A 0x31D39122
HASH layer=0 t=9 buf=A 0xF71DC727
HASH layer=0 t=10 buf=A 0xDA6F43E6
HASH layer=0 t=11 buf=A 0xFC871897
HASH layer=0 t=12 buf=A 0x2E75171B
HASH layer=0 t=13 buf=A 0x6FD5AFAE
HASH layer=0 t=14 buf=A 0x994A825D
HASH layer=0 t=15 buf=A 0x9D1C9024
HASH layer=0 t=16 buf=A 0x7565344A
HASH layer=0 t=17 buf=A 0x5EB704C9
HASH layer=0 t=18 buf=A 0x79342207
HASH layer=0 t=19 buf=A 0x2111442C
HASH layer=0 t=20 buf=A 0x15977A8B
HASH layer=0 t=21 buf=A 0x242B406B
HASH layer=0 t=22 buf=A 0x45ECEA68
HASH layer=0 t=23 buf=A 0xFB2B0E2A
HASH layer=0 t=24 buf=A 0x2B19D26D
HASH layer=0 t=25 buf=A 0x60D486DC
HASH layer=0 t=26 buf=A 0xFA899E16
HASH layer=0 t=27 buf=A 0xBF5A3416
HASH layer=0 t=28 buf=A 0x053E21B1
HASH layer=0 t=29 buf=A 0xFDAA0352
HASH layer=0 t=30 buf=A 0xE7B54569
HASH layer=0 t=31 buf=A 0x64C6F9DC
HASH layer=0 t=32 buf=A 0x8996E370
HASH layer=0 t=33 buf=A 0x208B9A28
HASH layer=0 t=34 buf=A 0x5EBCEF4D
HASH layer=0 t=35 buf=A 0x9EB933F0
HASH layer=0 t=36 buf=A 0x6CA0698C
HASH layer=0 t=37 buf=A 0xC31AE7B7
HASH layer=0 t=38 buf=A 0x333A72EE
HASH layer=0 t=39 buf=A 0x56A1B17B
HASH layer=0 t=40 buf=A 0x72A9E941
HASH layer=0 t=41 buf=A 0x780C817C
HASH layer=0 t=42 buf=A 0x7B3525BC
HASH layer=0 t=43 buf=A 0x7F66CF29
HASH layer=0 t=44 buf=A 0x7A25C1B2
HASH layer=0 t=45 buf=A 0x64536138
HASH layer=0 t=46 buf=A 0x59E7BF69
HASH layer=0 t=47 buf=A 0xBB96938E
HASH layer=0 t=48 buf=A 0x8C5C4C89
HASH layer=0 t=49 buf=A 0xCF69ACDF
HASH layer=0 t=50 buf=A 0x588F26C9
HASH layer=0 t=51 buf=A 0x809C2C01
HASH layer=0 t=52 buf=A 0x02228784
HASH layer=0 t=53 buf=A 0xE4867D5F
HASH layer=0 t=54 buf=A 0x4282FAD2
HASH layer=0 t=55 buf=A 0x24DF2D54
HASH layer=0 t=56 buf=A 0x9D596D36
HASH layer=0 t=57 buf=A 0x0C3D9629
HASH layer=0 t=58 buf=A 0xF1FF6350
HASH layer=0 t=59 buf=A 0x059E28BA
HASH layer=0 t=60 buf=A 0x58A38F9D
HASH layer=0 t=61 buf=A 0x4AC73FA2
HASH layer=0 t=62 buf=A 0xB2DAA2EB
HASH layer=0 t=63 buf=A 0x1AD52A76
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x05801BAF
HASH layer=1 t=2 buf=B 0x3CD662C2
HASH layer=1 t=3 buf=B 0x76147093
HASH layer=1 t=4 buf=B 0x592B0965
HASH layer=1 t=5 buf=B 0xF5F954AA
HASH layer=1 t=6 buf=B 0x2ABF6259
HASH layer=1 t=7 buf=B 0x607D7008
HASH layer=1 t=8 buf=B 0x92D1DE2B
HASH layer=1 t=9 buf=B 0x3E0383E4
HASH layer=1 t=10 buf=B 0xE145B517
HASH layer=1 t=11 buf=B 0xAB87A746
HASH layer=1 t=12 buf=B 0x84B8DEB0
HASH layer=1 t=13 buf=B 0xCE7ACCE1
HASH layer=1 t=14 buf=B 0x113CFA12
HASH layer=1 t=15 buf=B 0x5BFEE843
HASH layer=1 t=16 buf=B 0x38453968
HASH layer=1 t=17 buf=B 0x72872B39
HASH layer=1 t=18 buf=B 0xADC11DCA
HASH layer=1 t=19 buf=B 0xE7030F9B
HASH layer=1 t=20 buf=B 0xC83C766D
HASH layer=1 t=21 buf=B 0x82FE643C
HASH layer=1 t=22 buf=B 0x5DB852CF
HASH layer=1 t=23 buf=B 0x177A409E
HASH layer=1 t=24 buf=B 0x03C6A123
HASH layer=1 t=25 buf=B 0x4904B372
HASH layer=1 t=26 buf=B 0x96428581
HASH layer=1 t=27 buf=B 0xDC8097D0
HASH layer=1 t=28 buf=B 0xF3BFEE26
HASH layer=1 t=29 buf=B 0xB97DFC77
HASH layer=1 t=30 buf=B 0x663BCA84
HASH layer=1 t=31 buf=B 0x2CF9D8D5
HASH layer=1 t=32 buf=B 0xA14C68D2
HASH layer=1 t=33 buf=B 0xEB8E7A83
HASH layer=1 t=34 buf=B 0x34C84C70
HASH layer=1 t=35 buf=B 0x7E0A5E21
HASH layer=1 t=36 buf=B 0x513527D7
HASH layer=1 t=37 buf=B 0x1BF73586
HASH layer=1 t=38 buf=B 0xC4B10375
HASH layer=1 t=39 buf=B 0x8E731124
HASH layer=1 t=40 buf=B 0x9ACFF099
HASH layer=1 t=41 buf=B 0xD00DE2C8
HASH layer=1 t=42 buf=B 0x0F4BD43B
HASH layer=1 t=43 buf=B 0x4589C66A
HASH layer=1 t=44 buf=B 0x6AB6BF9C
HASH layer=1 t=45 buf=B 0x2074ADCD
HASH layer=1 t=46 buf=B 0xFF329B3E
HASH layer=1 t=47 buf=B 0xB5F0896F
HASH layer=1 t=48 buf=B 0xD64B5844
HASH layer=1 t=49 buf=B 0x9C894A15
HASH layer=1 t=50 buf=B 0x43CF7CE6
HASH layer=1 t=51 buf=B 0x090D6EB7
HASH layer=1 t=52 buf=B 0x26321741
HASH layer=1 t=53 buf=B 0x6CF00510
HASH layer=1 t=54 buf=B 0xB3B633E3
HASH layer=1 t=55 buf=B 0xF97421B2
HASH layer=1 t=56 buf=B 0xEDC8C00F
HASH layer=1 t=57 buf=B 0xA70AD25E
HASH layer=1 t=58 buf=B 0x784CE4AD
HASH layer=1 t=59 buf=B 0x328EF6FC
HASH layer=1 t=60 buf=B 0x1DB18F0A
HASH layer=1 t=61 buf=B 0x57739D5B
HASH layer=1 t=62 buf=B 0x8835ABA8
HASH layer=1 t=63 buf=B 0xC2F7B9F9
TRACE_HASH_END count=128
[PASS] sample 3 label=3 pred=3 counts=[0 0 0 63 0 0 0 4 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=4
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0xC2DF448B
HASH layer=0 t=2 buf=A 0x16674EB8
HASH layer=0 t=3 buf=A 0x4E181E9A
HASH layer=0 t=4 buf=A 0x4B304BC3
HASH layer=0 t=5 buf=A 0xDFC282D4
HASH layer=0 t=6 buf=A 0x53EDEA7F
HASH layer=0 t=7 buf=A 0x6248494D
